# BUSCO version is: 2.0 
# The lineage dataset is: embryophyta_odb9 (Creation date: 2016-02-13, number of species: 30, number of BUSCOs: 1440)
# To reproduce this run: python /software/busco/2.0/x86_64-linux-ubuntu14.04/BUSCO.py -i /share/malooflab/Hajar/trinity-process/trinity.out/Trinity.fasta -o BUSCO_output_plant -l /home/hajaramini/embryophyta_odb9/ -m tran -c 20 -sp arabidopsis
#
# Busco id	Status	Sequence	Score	Length
EOG093600N9	Duplicated	TRINITY_DN143168_c2_g1_i12	1526.5	982
EOG093600N9	Duplicated	TRINITY_DN143168_c2_g1_i23	1553.8	1019
EOG093600N9	Duplicated	TRINITY_DN143168_c2_g1_i7	1553.9	1019
EOG093600NS	Complete	TRINITY_DN138139_c0_g1_i7	1323.9	843
EOG093600O6	Duplicated	TRINITY_DN138442_c0_g1_i10	1165.8	1015
EOG093600O6	Duplicated	TRINITY_DN138442_c0_g1_i7	1166.5	1015
EOG093600O6	Duplicated	TRINITY_DN141869_c0_g2_i11	1012.5	872
EOG093600OF	Duplicated	TRINITY_DN131720_c2_g2_i13	1564.1	1005
EOG093600OF	Duplicated	TRINITY_DN131720_c2_g2_i15	1564.2	1007
EOG093600OF	Duplicated	TRINITY_DN142564_c0_g1_i1	1563.9	998
EOG093600ON	Duplicated	TRINITY_DN142790_c3_g3_i4	1649.8	977
EOG093600ON	Duplicated	TRINITY_DN145978_c0_g1_i3	1535.1	926
EOG093600ON	Duplicated	TRINITY_DN145978_c0_g1_i4	1535.1	926
EOG093600OU	Duplicated	TRINITY_DN141381_c0_g1_i6	1404.1	777
EOG093600OU	Duplicated	TRINITY_DN148365_c1_g2_i11	1560.0	935
EOG093600OU	Duplicated	TRINITY_DN148365_c1_g2_i7	1579.8	938
EOG093600P5	Complete	TRINITY_DN146886_c1_g2_i15	948.9	802
EOG093600PE	Duplicated	TRINITY_DN134293_c0_g3_i1	1417.3	1124
EOG093600PE	Duplicated	TRINITY_DN134293_c0_g3_i2	1343.7	1059
EOG093600QB	Duplicated	TRINITY_DN126311_c1_g1_i10	956.1	744
EOG093600QB	Duplicated	TRINITY_DN126311_c1_g1_i4	956.1	742
EOG093600QB	Duplicated	TRINITY_DN126311_c1_g1_i9	955.4	742
EOG093600R5	Duplicated	TRINITY_DN138528_c0_g4_i1	1659.4	912
EOG093600R5	Duplicated	TRINITY_DN139012_c1_g1_i15	1577.0	855
EOG093600R5	Duplicated	TRINITY_DN139012_c1_g1_i7	1577.0	855
EOG093600SL	Fragmented	TRINITY_DN146114_c2_g3_i1	1194.7	720
EOG093600SS	Fragmented	TRINITY_DN139852_c1_g2_i4	979.0	598
EOG093600SY	Duplicated	TRINITY_DN142719_c1_g1_i1	1616.6	948
EOG093600SY	Duplicated	TRINITY_DN144343_c2_g2_i6	1494.1	860
EOG093600SY	Duplicated	TRINITY_DN144343_c2_g2_i8	1414.4	743
EOG093600T6	Fragmented	TRINITY_DN175488_c0_g1_i1	293.7	205
EOG093600T8	Complete	TRINITY_DN139870_c0_g1_i1	957.1	915
EOG093600TY	Complete	TRINITY_DN145200_c0_g1_i4	1518.6	1820
EOG093600TZ	Duplicated	TRINITY_DN145247_c2_g1_i14	1064.6	627
EOG093600TZ	Duplicated	TRINITY_DN145247_c2_g1_i3	1064.7	627
EOG093600TZ	Duplicated	TRINITY_DN145247_c2_g1_i8	1046.6	616
EOG093600U4	Duplicated	TRINITY_DN139351_c0_g1_i25	1038.8	598
EOG093600U4	Duplicated	TRINITY_DN139351_c0_g1_i26	1038.5	666
EOG093600U4	Duplicated	TRINITY_DN139351_c0_g1_i32	1018.1	666
EOG093600U9	Duplicated	TRINITY_DN132678_c2_g2_i1	1688.9	1024
EOG093600U9	Duplicated	TRINITY_DN132678_c2_g2_i10	1688.6	1024
EOG093600U9	Duplicated	TRINITY_DN132678_c2_g2_i9	1759.1	1071
EOG093600UX	Duplicated	TRINITY_DN130625_c0_g1_i1	1264.5	884
EOG093600UX	Duplicated	TRINITY_DN142096_c0_g1_i11	1264.7	884
EOG093600W2	Duplicated	TRINITY_DN149203_c1_g1_i1	695.0	677
EOG093600W2	Duplicated	TRINITY_DN149203_c1_g1_i17	695.1	677
EOG093600W2	Duplicated	TRINITY_DN149203_c1_g1_i18	695.0	677
EOG093600WS	Duplicated	TRINITY_DN125769_c0_g1_i1	1290.2	875
EOG093600WS	Duplicated	TRINITY_DN125769_c0_g1_i3	1287.6	875
EOG093600X9	Missing
EOG093600XL	Duplicated	TRINITY_DN133553_c0_g2_i12	1625.4	968
EOG093600XL	Duplicated	TRINITY_DN133553_c0_g2_i18	1642.0	972
EOG093600XL	Duplicated	TRINITY_DN133553_c0_g2_i8	1642.1	972
EOG093600YH	Missing
EOG093600ZL	Duplicated	TRINITY_DN133282_c0_g4_i4	1363.0	792
EOG093600ZL	Duplicated	TRINITY_DN133282_c0_g5_i2	1364.6	792
EOG093600ZL	Duplicated	TRINITY_DN133282_c0_g5_i4	1363.1	792
EOG0936011P	Duplicated	TRINITY_DN142554_c0_g1_i13	781.4	570
EOG0936011P	Duplicated	TRINITY_DN142554_c0_g1_i3	781.4	570
EOG0936011P	Duplicated	TRINITY_DN142715_c2_g1_i7	780.7	570
EOG0936011U	Duplicated	TRINITY_DN133594_c0_g1_i11	876.1	627
EOG0936011U	Duplicated	TRINITY_DN133594_c0_g1_i13	875.5	627
EOG0936011U	Duplicated	TRINITY_DN133594_c0_g1_i8	875.5	627
EOG0936011V	Duplicated	TRINITY_DN138460_c1_g1_i2	1602.9	880
EOG0936011V	Duplicated	TRINITY_DN138460_c1_g1_i9	1666.9	911
EOG09360146	Duplicated	TRINITY_DN136650_c0_g1_i20	1466.2	836
EOG09360146	Duplicated	TRINITY_DN136650_c0_g1_i24	1467.2	836
EOG09360146	Duplicated	TRINITY_DN136650_c0_g1_i29	1466.6	836
EOG09360155	Duplicated	TRINITY_DN146565_c1_g1_i7	1149.1	645
EOG09360155	Duplicated	TRINITY_DN146819_c2_g1_i13	1148.5	645
EOG09360155	Duplicated	TRINITY_DN146819_c2_g1_i9	1149.1	645
EOG0936015N	Duplicated	TRINITY_DN127272_c3_g1_i2	1127.5	888
EOG0936015N	Duplicated	TRINITY_DN127272_c3_g1_i4	1127.5	888
EOG0936015N	Duplicated	TRINITY_DN127272_c3_g1_i5	1127.5	888
EOG0936017C	Duplicated	TRINITY_DN141664_c0_g1_i3	1587.0	846
EOG0936017C	Duplicated	TRINITY_DN141664_c0_g1_i6	1586.7	827
EOG0936017C	Duplicated	TRINITY_DN142896_c0_g1_i1	1549.3	846
EOG0936017K	Duplicated	TRINITY_DN142143_c2_g2_i8	1026.4	544
EOG0936017K	Duplicated	TRINITY_DN147617_c2_g1_i9	1024.7	543
EOG09360199	Duplicated	TRINITY_DN131936_c0_g1_i10	1354.3	738
EOG09360199	Duplicated	TRINITY_DN131936_c0_g1_i11	1356.2	738
EOG09360199	Duplicated	TRINITY_DN131936_c0_g1_i12	1356.2	738
EOG0936019N	Duplicated	TRINITY_DN142579_c1_g4_i6	1007.0	771
EOG0936019N	Duplicated	TRINITY_DN148918_c4_g2_i1	1183.3	669
EOG0936019X	Duplicated	TRINITY_DN138336_c1_g1_i1	939.9	568
EOG0936019X	Duplicated	TRINITY_DN145123_c1_g1_i12	1059.9	625
EOG0936019X	Duplicated	TRINITY_DN145123_c1_g1_i14	1059.8	625
EOG093601AL	Complete	TRINITY_DN123583_c0_g1_i2	1615.7	920
EOG093601AN	Fragmented	TRINITY_DN106814_c0_g1_i1	469.3	331
EOG093601CE	Duplicated	TRINITY_DN143652_c0_g2_i1	1458.6	858
EOG093601CE	Duplicated	TRINITY_DN143652_c0_g2_i15	1458.6	858
EOG093601CE	Duplicated	TRINITY_DN143652_c0_g2_i2	1458.6	858
EOG093601CM	Duplicated	TRINITY_DN130137_c1_g1_i5	592.7	596
EOG093601CM	Duplicated	TRINITY_DN136248_c0_g1_i6	594.8	596
EOG093601CM	Duplicated	TRINITY_DN136248_c0_g1_i8	594.4	597
EOG093601CX	Missing
EOG093601DT	Duplicated	TRINITY_DN135209_c2_g1_i3	1412.2	826
EOG093601DT	Duplicated	TRINITY_DN144485_c0_g1_i12	1413.1	826
EOG093601DT	Duplicated	TRINITY_DN144485_c0_g1_i25	1412.4	826
EOG093601FF	Duplicated	TRINITY_DN147456_c2_g1_i12	1689.3	790
EOG093601FF	Duplicated	TRINITY_DN147456_c2_g1_i14	1688.5	790
EOG093601FF	Duplicated	TRINITY_DN147456_c2_g1_i7	1689.3	790
EOG093601FH	Duplicated	TRINITY_DN141116_c0_g2_i4	1725.6	1064
EOG093601FH	Duplicated	TRINITY_DN141116_c0_g2_i7	1584.7	1008
EOG093601FH	Duplicated	TRINITY_DN141116_c0_g2_i9	1725.6	1064
EOG093601G4	Duplicated	TRINITY_DN142259_c0_g1_i11	1267.9	785
EOG093601G4	Duplicated	TRINITY_DN142259_c0_g2_i1	1227.5	730
EOG093601G4	Duplicated	TRINITY_DN142259_c0_g2_i2	1227.5	730
EOG093601IB	Fragmented	TRINITY_DN149662_c6_g3_i3	710.3	368
EOG093601IL	Duplicated	TRINITY_DN144311_c0_g1_i5	1658.5	976
EOG093601IL	Duplicated	TRINITY_DN144311_c0_g2_i2	1664.8	976
EOG093601IL	Duplicated	TRINITY_DN144311_c0_g2_i3	1661.0	976
EOG093601IV	Duplicated	TRINITY_DN127365_c0_g2_i4	762.7	414
EOG093601IV	Duplicated	TRINITY_DN127365_c0_g3_i2	746.5	402
EOG093601IY	Duplicated	TRINITY_DN141118_c0_g1_i15	1041.5	706
EOG093601IY	Duplicated	TRINITY_DN141118_c0_g1_i3	1041.8	706
EOG093601IY	Duplicated	TRINITY_DN141118_c0_g1_i7	1041.8	706
EOG093601KV	Duplicated	TRINITY_DN124847_c0_g2_i2	1295.2	795
EOG093601KV	Duplicated	TRINITY_DN124847_c0_g2_i8	1295.7	796
EOG093601KY	Duplicated	TRINITY_DN130165_c0_g2_i12	1292.4	761
EOG093601KY	Duplicated	TRINITY_DN130165_c0_g2_i3	1118.8	657
EOG093601KY	Duplicated	TRINITY_DN130165_c0_g2_i8	1293.3	761
EOG093601LZ	Duplicated	TRINITY_DN126815_c0_g1_i18	479.2	331
EOG093601LZ	Duplicated	TRINITY_DN126815_c0_g1_i19	480.5	308
EOG093601LZ	Duplicated	TRINITY_DN126815_c0_g1_i21	480.8	308
EOG093601M6	Duplicated	TRINITY_DN141309_c0_g1_i13	1013.4	737
EOG093601M6	Duplicated	TRINITY_DN141309_c0_g1_i15	1059.2	768
EOG093601M6	Duplicated	TRINITY_DN141309_c0_g2_i4	1059.1	768
EOG093601MF	Duplicated	TRINITY_DN144423_c0_g1_i11	1836.0	1102
EOG093601MF	Duplicated	TRINITY_DN144423_c0_g1_i14	1831.5	1102
EOG093601MF	Duplicated	TRINITY_DN144423_c0_g1_i14	1831.9	1102
EOG093601MF	Duplicated	TRINITY_DN144423_c0_g1_i3	1741.4	1044
EOG093601MF	Duplicated	TRINITY_DN144423_c0_g1_i3	1831.7	1102
EOG093601MT	Duplicated	TRINITY_DN144779_c1_g1_i2	511.8	457
EOG093601MT	Duplicated	TRINITY_DN144779_c1_g1_i3	516.4	462
EOG093601NK	Duplicated	TRINITY_DN148857_c0_g2_i1	1405.7	814
EOG093601NK	Duplicated	TRINITY_DN148857_c0_g2_i6	1405.6	814
EOG093601NK	Duplicated	TRINITY_DN148857_c0_g2_i7	1405.6	814
EOG093601NU	Duplicated	TRINITY_DN124652_c1_g2_i7	1376.8	930
EOG093601NU	Duplicated	TRINITY_DN141932_c0_g1_i10	1310.4	926
EOG093601NU	Duplicated	TRINITY_DN141932_c0_g1_i12	1347.1	931
EOG093601OK	Duplicated	TRINITY_DN120527_c0_g2_i2	1309.9	742
EOG093601OK	Duplicated	TRINITY_DN124774_c0_g1_i4	1310.7	742
EOG093601PF	Duplicated	TRINITY_DN135190_c0_g5_i1	1604.5	834
EOG093601PF	Duplicated	TRINITY_DN136743_c0_g2_i9	1605.5	834
EOG093601PJ	Duplicated	TRINITY_DN132002_c1_g2_i4	1643.2	852
EOG093601PJ	Duplicated	TRINITY_DN132002_c1_g2_i6	1642.4	852
EOG093601PJ	Duplicated	TRINITY_DN132002_c1_g2_i7	1643.2	852
EOG093601PV	Duplicated	TRINITY_DN143643_c0_g2_i2	1309.1	738
EOG093601PV	Duplicated	TRINITY_DN143643_c0_g2_i6	1434.3	789
EOG093601Q7	Duplicated	TRINITY_DN135791_c0_g1_i1	607.1	708
EOG093601Q7	Duplicated	TRINITY_DN135791_c0_g1_i1	607.5	708
EOG093601Q7	Duplicated	TRINITY_DN135791_c0_g1_i2	609.7	707
EOG093601QL	Duplicated	TRINITY_DN142519_c0_g1_i10	1350.9	854
EOG093601QL	Duplicated	TRINITY_DN142519_c1_g1_i1	1349.8	854
EOG093601QL	Duplicated	TRINITY_DN142519_c1_g1_i10	1349.7	854
EOG093601SL	Duplicated	TRINITY_DN132382_c0_g1_i1	894.7	771
EOG093601SL	Duplicated	TRINITY_DN132382_c0_g1_i2	894.7	771
EOG093601SQ	Duplicated	TRINITY_DN146759_c2_g2_i2	1231.6	649
EOG093601SQ	Duplicated	TRINITY_DN146759_c2_g2_i4	1254.5	676
EOG093601SQ	Duplicated	TRINITY_DN146759_c2_g2_i5	1231.9	649
EOG093601T9	Duplicated	TRINITY_DN142391_c0_g1_i4	1046.3	592
EOG093601T9	Duplicated	TRINITY_DN144733_c0_g1_i3	1046.5	592
EOG093601T9	Duplicated	TRINITY_DN144733_c0_g1_i5	1046.5	592
EOG093601TO	Duplicated	TRINITY_DN136849_c1_g1_i1	1416.2	735
EOG093601TO	Duplicated	TRINITY_DN136849_c1_g1_i6	1418.1	736
EOG093601TR	Duplicated	TRINITY_DN109765_c0_g1_i4	1037.3	807
EOG093601TR	Duplicated	TRINITY_DN109765_c0_g2_i1	1036.0	764
EOG093601TR	Duplicated	TRINITY_DN109765_c0_g2_i2	1037.3	807
EOG093601U2	Missing
EOG093601UA	Duplicated	TRINITY_DN137026_c1_g1_i1	1186.4	687
EOG093601UA	Duplicated	TRINITY_DN137026_c1_g1_i4	1059.1	612
EOG093601UA	Duplicated	TRINITY_DN138764_c0_g1_i2	1188.0	687
EOG093601UC	Complete	TRINITY_DN136307_c2_g2_i7	1344.2	706
EOG093601V0	Complete	TRINITY_DN141154_c2_g2_i14	1185.5	730
EOG093601VD	Duplicated	TRINITY_DN108539_c0_g1_i1	1286.2	854
EOG093601VD	Duplicated	TRINITY_DN117774_c0_g1_i2	1286.2	854
EOG093601WC	Duplicated	TRINITY_DN130611_c0_g2_i1	1098.7	776
EOG093601WC	Duplicated	TRINITY_DN130611_c0_g2_i2	1100.4	777
EOG093601WC	Duplicated	TRINITY_DN130611_c0_g2_i8	1101.8	777
EOG093601XR	Complete	TRINITY_DN145632_c0_g1_i10	663.7	385
EOG093601Y2	Duplicated	TRINITY_DN128967_c1_g1_i6	1273.3	856
EOG093601Y2	Duplicated	TRINITY_DN144872_c1_g1_i3	1273.2	856
EOG093601Y2	Duplicated	TRINITY_DN144872_c1_g1_i5	1234.5	773
EOG093601Y6	Missing
EOG09360205	Duplicated	TRINITY_DN119074_c0_g3_i3	987.9	650
EOG09360205	Duplicated	TRINITY_DN119074_c0_g3_i4	987.9	650
EOG0936020C	Duplicated	TRINITY_DN140665_c0_g1_i2	1124.4	710
EOG0936020C	Duplicated	TRINITY_DN140665_c0_g1_i7	1126.8	710
EOG0936020C	Duplicated	TRINITY_DN140665_c0_g1_i9	1126.4	710
EOG0936020T	Complete	TRINITY_DN127626_c0_g1_i3	1589.7	795
EOG0936021K	Duplicated	TRINITY_DN125729_c0_g1_i3	1091.3	772
EOG0936021K	Duplicated	TRINITY_DN125729_c0_g1_i3	1092.2	772
EOG0936021K	Duplicated	TRINITY_DN125729_c0_g1_i7	1096.5	770
EOG09360236	Duplicated	TRINITY_DN132943_c0_g1_i1	867.8	651
EOG09360236	Duplicated	TRINITY_DN145045_c0_g1_i1	865.6	638
EOG0936023S	Duplicated	TRINITY_DN146061_c1_g1_i6	1023.4	659
EOG0936023S	Duplicated	TRINITY_DN146061_c1_g1_i7	1048.6	656
EOG0936024P	Duplicated	TRINITY_DN134554_c1_g1_i1	931.9	504
EOG0936024P	Duplicated	TRINITY_DN134554_c1_g1_i3	933.8	505
EOG0936024U	Complete	TRINITY_DN131284_c1_g1_i3	882.2	544
EOG09360254	Duplicated	TRINITY_DN133303_c0_g1_i1	1006.1	689
EOG09360254	Duplicated	TRINITY_DN133303_c0_g1_i3	1006.3	689
EOG09360259	Duplicated	TRINITY_DN139963_c0_g2_i10	1063.9	713
EOG09360259	Duplicated	TRINITY_DN139963_c0_g2_i11	1063.9	713
EOG09360259	Duplicated	TRINITY_DN139963_c0_g2_i12	1064.5	714
EOG0936025H	Missing
EOG0936025L	Duplicated	TRINITY_DN139645_c0_g1_i3	1191.2	745
EOG0936025L	Duplicated	TRINITY_DN139645_c0_g1_i6	1191.6	745
EOG0936025L	Duplicated	TRINITY_DN140405_c1_g1_i8	1193.7	745
EOG0936026P	Duplicated	TRINITY_DN122371_c0_g1_i3	924.7	749
EOG0936026P	Duplicated	TRINITY_DN122371_c0_g3_i10	923.6	700
EOG0936026P	Duplicated	TRINITY_DN122371_c0_g3_i5	925.3	750
EOG0936026R	Duplicated	TRINITY_DN127139_c3_g1_i3	754.6	604
EOG0936026R	Duplicated	TRINITY_DN134386_c0_g1_i3	755.1	603
EOG0936026R	Duplicated	TRINITY_DN134386_c0_g1_i7	756.7	604
EOG0936026Z	Missing
EOG0936027I	Duplicated	TRINITY_DN127573_c0_g1_i10	987.3	655
EOG0936027I	Duplicated	TRINITY_DN127573_c0_g1_i14	987.3	655
EOG0936027I	Duplicated	TRINITY_DN127573_c0_g1_i7	986.0	654
EOG0936028K	Duplicated	TRINITY_DN142973_c2_g2_i20	1036.2	657
EOG0936028K	Duplicated	TRINITY_DN142973_c2_g2_i9	1032.0	643
EOG0936028O	Duplicated	TRINITY_DN145401_c1_g1_i4	1080.7	787
EOG0936028O	Duplicated	TRINITY_DN145401_c1_g1_i5	1096.3	812
EOG0936028V	Duplicated	TRINITY_DN117680_c2_g1_i8	823.3	706
EOG0936028V	Duplicated	TRINITY_DN142071_c0_g1_i10	823.1	705
EOG0936028V	Duplicated	TRINITY_DN142071_c0_g1_i6	823.3	705
EOG09360296	Duplicated	TRINITY_DN146402_c3_g1_i5	1645.5	820
EOG09360296	Duplicated	TRINITY_DN146402_c3_g1_i8	1645.1	820
EOG093602A0	Duplicated	TRINITY_DN144220_c1_g1_i11	1399.6	689
EOG093602A0	Duplicated	TRINITY_DN144220_c1_g1_i6	1399.7	689
EOG093602A0	Duplicated	TRINITY_DN147205_c1_g1_i6	1485.8	753
EOG093602C3	Duplicated	TRINITY_DN145031_c0_g2_i3	907.3	541
EOG093602C3	Duplicated	TRINITY_DN145031_c0_g2_i5	932.1	649
EOG093602CL	Complete	TRINITY_DN126377_c0_g3_i1	932.4	892
EOG093602E8	Duplicated	TRINITY_DN144567_c0_g1_i3	1276.8	652
EOG093602E8	Duplicated	TRINITY_DN144570_c1_g4_i6	1309.2	693
EOG093602EO	Duplicated	TRINITY_DN123150_c2_g1_i5	1477.6	741
EOG093602EO	Duplicated	TRINITY_DN137624_c0_g1_i11	1476.9	740
EOG093602EO	Duplicated	TRINITY_DN137624_c0_g1_i2	1477.2	740
EOG093602EU	Duplicated	TRINITY_DN148262_c2_g1_i4	1339.1	761
EOG093602EU	Duplicated	TRINITY_DN148812_c1_g2_i5	1343.4	761
EOG093602F2	Duplicated	TRINITY_DN133697_c3_g2_i5	1014.8	517
EOG093602F2	Duplicated	TRINITY_DN133697_c3_g2_i7	1019.2	579
EOG093602F2	Duplicated	TRINITY_DN141292_c0_g2_i1	1017.2	517
EOG093602FO	Complete	TRINITY_DN131544_c0_g2_i9	1078.3	724
EOG093602GP	Complete	TRINITY_DN134239_c1_g1_i6	1181.6	609
EOG093602H1	Complete	TRINITY_DN136954_c2_g1_i3	1371.7	659
EOG093602HL	Duplicated	TRINITY_DN128810_c0_g2_i2	1347.9	660
EOG093602HL	Duplicated	TRINITY_DN139702_c1_g1_i2	1348.2	660
EOG093602HL	Duplicated	TRINITY_DN139702_c1_g1_i5	1347.9	660
EOG093602I0	Complete	TRINITY_DN144544_c2_g1_i2	1517.4	827
EOG093602IG	Duplicated	TRINITY_DN138750_c0_g1_i1	1287.5	895
EOG093602IG	Duplicated	TRINITY_DN138750_c0_g1_i6	1287.7	895
EOG093602IG	Duplicated	TRINITY_DN138750_c0_g1_i7	1288.5	895
EOG093602K0	Duplicated	TRINITY_DN140287_c0_g1_i1	836.5	563
EOG093602K0	Duplicated	TRINITY_DN140287_c0_g1_i11	835.9	563
EOG093602K0	Duplicated	TRINITY_DN140287_c0_g1_i7	969.7	645
EOG093602KH	Duplicated	TRINITY_DN130421_c0_g1_i7	1295.8	687
EOG093602KH	Duplicated	TRINITY_DN130421_c0_g2_i4	1298.2	687
EOG093602KH	Duplicated	TRINITY_DN130421_c0_g2_i6	1297.8	687
EOG093602KV	Complete	TRINITY_DN144060_c0_g2_i1	1111.1	709
EOG093602LT	Duplicated	TRINITY_DN117516_c1_g2_i1	104.9	350
EOG093602LT	Duplicated	TRINITY_DN117516_c1_g2_i2	107.5	286
EOG093602LT	Duplicated	TRINITY_DN147111_c0_g1_i1	114.8	138
EOG093602MY	Duplicated	TRINITY_DN114433_c0_g1_i2	1267.9	643
EOG093602MY	Duplicated	TRINITY_DN114433_c0_g1_i7	1232.8	622
EOG093602N6	Missing
EOG093602O1	Duplicated	TRINITY_DN147411_c1_g4_i12	470.3	428
EOG093602O1	Duplicated	TRINITY_DN147411_c1_g4_i18	508.2	463
EOG093602O1	Duplicated	TRINITY_DN147411_c1_g4_i9	470.1	428
EOG093602OJ	Missing
EOG093602PW	Duplicated	TRINITY_DN130391_c2_g1_i10	834.4	629
EOG093602PW	Duplicated	TRINITY_DN130391_c2_g1_i12	834.7	629
EOG093602PW	Duplicated	TRINITY_DN130391_c2_g1_i8	834.0	629
EOG093602QH	Duplicated	TRINITY_DN142189_c0_g4_i1	1124.6	644
EOG093602QH	Duplicated	TRINITY_DN144989_c0_g1_i6	1124.3	644
