Busco_id Status Sequence Score Length length prop_gc orf_length in_bridges p_good p_bases_covered p_seq_true score p_not_segmented eff_length eff_count tpm coverage sCnuc sCcov sCord sCseg
EOG0936019X Duplicated TRINITY_DN145123_c1_g1_i12 1059.9 625 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093601AL Complete TRINITY_DN123583_c0_g1_i2 1615.7 920 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093601AN Fragmented TRINITY_DN106814_c0_g1_i1 469.3 331 265 0.456604 63 0 0.4 1 0.953571 0.364707 0.95616 265 0 0 0 0.953571 1 0.4 0.95616
EOG093601CE Duplicated TRINITY_DN143652_c0_g2_i1 1458.6 858 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093601CE Duplicated TRINITY_DN143652_c0_g2_i15 1458.6 858 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093601CE Duplicated TRINITY_DN143652_c0_g2_i2 1458.6 858 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093601CM Duplicated TRINITY_DN136248_c0_g1_i6 594.8 596 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093601CX Missing NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093601DT Duplicated TRINITY_DN144485_c0_g1_i12 1413.1 826 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093601FF Duplicated TRINITY_DN147456_c2_g1_i12 1689.3 790 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093601FF Duplicated TRINITY_DN147456_c2_g1_i7 1689.3 790 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093601FH Duplicated TRINITY_DN141116_c0_g2_i4 1725.6 1064 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093601FH Duplicated TRINITY_DN141116_c0_g2_i9 1725.6 1064 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093601G4 Duplicated TRINITY_DN142259_c0_g1_i11 1267.9 785 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093601IB Fragmented TRINITY_DN149662_c6_g3_i3 710.3 368 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093601IL Duplicated TRINITY_DN144311_c0_g2_i2 1664.8 976 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093601IV Duplicated TRINITY_DN127365_c0_g2_i4 762.7 414 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093601IY Duplicated TRINITY_DN141118_c0_g1_i3 1041.8 706 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093601IY Duplicated TRINITY_DN141118_c0_g1_i7 1041.8 706 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093601KV Duplicated TRINITY_DN124847_c0_g2_i8 1295.7 796 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093601KY Duplicated TRINITY_DN130165_c0_g2_i8 1293.3 761 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093601LZ Duplicated TRINITY_DN126815_c0_g1_i21 480.8 308 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093601M6 Duplicated TRINITY_DN141309_c0_g1_i15 1059.2 768 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093601MF Duplicated TRINITY_DN144423_c0_g1_i11 1836 1102 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093601MT Duplicated TRINITY_DN144779_c1_g1_i3 516.4 462 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093601NK Duplicated TRINITY_DN148857_c0_g2_i1 1405.7 814 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093601NU Duplicated TRINITY_DN124652_c1_g2_i7 1376.8 930 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093601OK Duplicated TRINITY_DN124774_c0_g1_i4 1310.7 742 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093601PF Duplicated TRINITY_DN136743_c0_g2_i9 1605.5 834 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093601PJ Duplicated TRINITY_DN132002_c1_g2_i4 1643.2 852 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093601PJ Duplicated TRINITY_DN132002_c1_g2_i7 1643.2 852 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093601PV Duplicated TRINITY_DN143643_c0_g2_i6 1434.3 789 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093601Q7 Duplicated TRINITY_DN135791_c0_g1_i2 609.7 707 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093601QL Duplicated TRINITY_DN142519_c0_g1_i10 1350.9 854 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093601SL Duplicated TRINITY_DN132382_c0_g1_i1 894.7 771 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093601SL Duplicated TRINITY_DN132382_c0_g1_i2 894.7 771 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093601SQ Duplicated TRINITY_DN146759_c2_g2_i4 1254.5 676 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093601T9 Duplicated TRINITY_DN144733_c0_g1_i3 1046.5 592 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093601T9 Duplicated TRINITY_DN144733_c0_g1_i5 1046.5 592 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093601TO Duplicated TRINITY_DN136849_c1_g1_i6 1418.1 736 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093601TR Duplicated TRINITY_DN109765_c0_g1_i4 1037.3 807 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093601TR Duplicated TRINITY_DN109765_c0_g2_i2 1037.3 807 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093601U2 Missing NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093601UA Duplicated TRINITY_DN138764_c0_g1_i2 1188 687 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093601UC Complete TRINITY_DN136307_c2_g2_i7 1344.2 706 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093601V0 Complete TRINITY_DN141154_c2_g2_i14 1185.5 730 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093601VD Duplicated TRINITY_DN108539_c0_g1_i1 1286.2 854 239 0.330544 44 0 1 1 0.985714 0.982818 0.997062 239 0 0 0 0.985714 1 1 0.997062
EOG093601VD Duplicated TRINITY_DN117774_c0_g1_i2 1286.2 854 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093601WC Duplicated TRINITY_DN130611_c0_g2_i8 1101.8 777 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093601XR Complete TRINITY_DN145632_c0_g1_i10 663.7 385 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093601Y2 Duplicated TRINITY_DN128967_c1_g1_i6 1273.3 856 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093601Y6 Missing NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG09360205 Duplicated TRINITY_DN119074_c0_g3_i3 987.9 650 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG09360205 Duplicated TRINITY_DN119074_c0_g3_i4 987.9 650 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936020C Duplicated TRINITY_DN140665_c0_g1_i7 1126.8 710 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936020T Complete TRINITY_DN127626_c0_g1_i3 1589.7 795 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936021K Duplicated TRINITY_DN125729_c0_g1_i7 1096.5 770 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG09360236 Duplicated TRINITY_DN132943_c0_g1_i1 867.8 651 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936023S Duplicated TRINITY_DN146061_c1_g1_i7 1048.6 656 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936024P Duplicated TRINITY_DN134554_c1_g1_i3 933.8 505 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936024U Complete TRINITY_DN131284_c1_g1_i3 882.2 544 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG09360254 Duplicated TRINITY_DN133303_c0_g1_i3 1006.3 689 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG09360259 Duplicated TRINITY_DN139963_c0_g2_i12 1064.5 714 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936025H Missing NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936025L Duplicated TRINITY_DN140405_c1_g1_i8 1193.7 745 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936026P Duplicated TRINITY_DN122371_c0_g3_i5 925.3 750 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936026R Duplicated TRINITY_DN134386_c0_g1_i7 756.7 604 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936026Z Missing NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936027I Duplicated TRINITY_DN127573_c0_g1_i10 987.3 655 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936027I Duplicated TRINITY_DN127573_c0_g1_i14 987.3 655 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936028K Duplicated TRINITY_DN142973_c2_g2_i20 1036.2 657 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936028O Duplicated TRINITY_DN145401_c1_g1_i5 1096.3 812 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936028V Duplicated TRINITY_DN117680_c2_g1_i8 823.3 706 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936028V Duplicated TRINITY_DN142071_c0_g1_i6 823.3 705 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG09360296 Duplicated TRINITY_DN146402_c3_g1_i5 1645.5 820 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093602A0 Duplicated TRINITY_DN147205_c1_g1_i6 1485.8 753 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093602C3 Duplicated TRINITY_DN145031_c0_g2_i5 932.1 649 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093602CL Complete TRINITY_DN126377_c0_g3_i1 932.4 892 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093602E8 Duplicated TRINITY_DN144570_c1_g4_i6 1309.2 693 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093602EO Duplicated TRINITY_DN123150_c2_g1_i5 1477.6 741 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093602EU Duplicated TRINITY_DN148812_c1_g2_i5 1343.4 761 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093602F2 Duplicated TRINITY_DN133697_c3_g2_i7 1019.2 579 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093602FO Complete TRINITY_DN131544_c0_g2_i9 1078.3 724 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093602GP Complete TRINITY_DN134239_c1_g1_i6 1181.6 609 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093602H1 Complete TRINITY_DN136954_c2_g1_i3 1371.7 659 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093602HL Duplicated TRINITY_DN139702_c1_g1_i2 1348.2 660 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093602I0 Complete TRINITY_DN144544_c2_g1_i2 1517.4 827 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093602IG Duplicated TRINITY_DN138750_c0_g1_i7 1288.5 895 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093602K0 Duplicated TRINITY_DN140287_c0_g1_i7 969.7 645 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093602KH Duplicated TRINITY_DN130421_c0_g2_i4 1298.2 687 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093602KV Complete TRINITY_DN144060_c0_g2_i1 1111.1 709 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093602LT Duplicated TRINITY_DN147111_c0_g1_i1 114.8 138 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093602MY Duplicated TRINITY_DN114433_c0_g1_i2 1267.9 643 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093602N6 Missing NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093602O1 Duplicated TRINITY_DN147411_c1_g4_i18 508.2 463 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093602OJ Missing NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093602PW Duplicated TRINITY_DN130391_c2_g1_i12 834.7 629 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093602QH Duplicated TRINITY_DN142189_c0_g4_i1 1124.6 644 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093602QV Duplicated TRINITY_DN135175_c0_g1_i10 1431.2 700 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093602QV Duplicated TRINITY_DN135175_c0_g1_i11 1431.2 700 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093602QV Duplicated TRINITY_DN135175_c0_g1_i12 1431.2 700 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093602RY Duplicated TRINITY_DN130956_c0_g2_i8 1310.5 706 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093602S0 Duplicated TRINITY_DN134054_c0_g1_i20 1103.7 616 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093602SP Duplicated TRINITY_DN133859_c0_g2_i1 953.7 677 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093602SW Duplicated TRINITY_DN117276_c0_g3_i1 836.4 658 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093602T8 Duplicated TRINITY_DN147833_c2_g2_i5 896.8 545 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093602TY Duplicated TRINITY_DN143800_c0_g1_i1 1102.1 655 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093602U5 Duplicated TRINITY_DN118841_c0_g1_i2 1132.7 670 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093602UL Duplicated TRINITY_DN148424_c1_g1_i10 1231.1 707 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093602V4 Duplicated TRINITY_DN148330_c3_g1_i2 1251.9 715 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093602VC Duplicated TRINITY_DN136797_c0_g1_i17 1151.9 637 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093602VE Duplicated TRINITY_DN143702_c0_g2_i6 493.2 339 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093602VI Duplicated TRINITY_DN135201_c2_g2_i2 1055.4 645 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093602WA Duplicated TRINITY_DN133291_c0_g2_i7 914.2 680 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093602X4 Duplicated TRINITY_DN149391_c0_g1_i4 800.1 560 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093602X4 Duplicated TRINITY_DN149391_c0_g1_i6 800.1 560 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093602X4 Duplicated TRINITY_DN149391_c0_g1_i7 800.1 560 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093602XV Duplicated TRINITY_DN120739_c0_g1_i2 896.6 615 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093602XZ Complete TRINITY_DN143480_c0_g2_i3 1083.9 687 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093602Y5 Complete TRINITY_DN139469_c2_g1_i3 1050.8 588 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
